,question,ground_truth,contexts,answer,answer_relevancy,faithfulness,context_recall,context_precision,answer_correctness
25,What types of data can Generalized Linear Models handle and calculate?,"Generalized Linear Models can handle and calculate dependent variables that can be count data, binary data, or proportions. It also can calculate continuous variables that deviates from the normal distribution.","[""that heavily rely on Generalized Linear Models. GLMs paved the road for even more complex models such as additive models and generalised [[Mixed Effect Models|mixed effect models]]. Today, Generalized Linear Models can be considered to be part of the standard repertoire of researchers with advanced knowledge in statistics.\n\n\n== What the method does ==\nGeneralized Linear Models are statistical analyses, yet the dependencies of these models often translate into specific sampling designs that make these statistical approaches already a part of an inherent and often [[Glossary|deductive]] methodological approach. Such advanced designs are among the highest art of quantitative deductive research designs, yet Generalized Linear Models are used to initially check/inspect data within inductive analysis as well. Generalized Linear Models calculate dependent variables that can consist of count data, binary data, and are also able to calculate data that represents proportions. '''Mechanically speaking, Generalized Linear Models are able to calculate relations between continuous variables where the dependent variable deviates from the normal""]"," Generalized Linear Models can handle and calculate count data, binary data, and data that represents proportions.",0.999998392992977,1.0,1.0,0.9999999999,0.8028464068356492
26,What is a heatmap and why is it useful?,A heatmap is a graphical representation of data where numerical values are replaced with colors. It is useful for understanding data as it allows for easy comparison of values and their distribution.,"[""'''Note:''' This entry revolves specifically around Heatmaps. For more general information on quantitative data visualisation, please refer to [[Introduction to statistical figures]].\n\n'''In short:''' \nA heatmap is a graphical representation of data where the individual numerical values are substituted with colored cells. In other words, it is a table with colors in place of numbers. As in the regular table, in the heatmap, each column is a feature and each row is an observation.\n\n==Why use a heatmap?==\nHeatmaps are useful to get an overall understanding of the data. While it can be hard to look at the table of numbers it is much easier to perceive the colors. Thus it can be easily seen which value is larger or smaller in comparison to others and how they are generally distributed.\n\n==Color assignment and normalization of data==\nThe principle by which the colors in a heatmap are assigned is that all the values of the table are ranked from the highest to lowest and then segregated into bins. Each bin""]","
A heatmap is a graphical representation of data where the individual numerical values are substituted with colored cells. Heatmaps are useful to get an overall understanding of the data, it can be easily seen which value is larger or smaller in comparison to others and how they are generally distributed.

Note: This answer is a generalization of the information in the entry, and is specifically in the context of heatmaps. If you don't know the answer, just say that you don't know.",0.9503817649472536,1.0,1.0,0.9999999999,0.8403325599846472
27,How did Alhazen contribute to the development of scientific methods?,"Alhazen contributed to the development of scientific methods by being the first to systematically manipulate experimental conditions, paving the way for the scientific method.","[""paving the way towards the scientific method, which would emerge centuries later. Alhazen is also relevant because he could be considered a polymath, highlighting the rise of more knowledge that actually enabled such characters, but still being too far away from the true formation of the diverse canon of [[Design Criteria of Methods|scientific disciplines]], which would probably have welcomed him as an expert on one matter or the other. Of course Alhazen stands here only as one of many that formed the rise of science on '''the Islamic world during medieval times, which can be seen as a cradle of Western science, and also as a continuity from the antics, when in Europe much of the immediate Greek and Roman heritage was lost.'''\n\n==== Before Enlightenment - ''Measure And Solve'' ====\n[[File:Normal_Mercator_map_85deg.jpg|thumb|300px|left|'''Mercator world map.''' Source: [https://de.wikipedia.org/wiki/Mercator-Projektion""]"," Alhazen, a polymath from the Islamic world during medieval times, is considered a cradle of Western science. Alhazen's expert knowledge in one matter or the other would have welcomed him as an expert in the diverse canon of scientific disciplines.",0.834160478159517,1.0,1.0,0.9999999999,0.595544037402837
28,How can multivariate data be graphically represented?,"Multivariate data can be graphically represented through ordination plots, cluster diagrams, and network plots. Ordination plots can include various approaches like decorana plots, principal component analysis plots, or results from non-metric dimensional scaling. Cluster diagrams show the grouping of data and are useful for displaying hierarchical structures. Network plots illustrate interactions between different parts of the data.","[""to Statistical Figures - Bipartite Plot example.png|300px|thumb|right|'''A bipartite plot showing the affiliation of publication authors and the region where a study was conducted.''' Source: Brandt et al. 2013. A review of transdisciplinary research in sustainability science.]]\n[[File:Introduction to Statistical Figures - Structural Equation Model.png|400px|thumb|center|'''A piecewise structural equation model quantifying hypothesized relationships between economic and technological power, military strength, biophysical reserves and net imports of resources as well as trade in value added per exported resource item in global trade in 2015.''' Source: Dorninger et al. 2021. Global patterns of ecologically unequal exchange: Implications for sustainability in the 21st century.]]\n\n\nMultivariate data can be principally shown by three ways of graphical representation: '''ordination plots''', '''cluster diagrams''' or '''network plots'''. Ordination plots may encapsulate such diverse""]"," Ordination plots, such as bipartite plots, can be a graphical representation of multivariate data. Bipartite plots can be a piecewise structural equation model that quantifying hypothesized relationships between economic and technological power, military strength, biophysical reserves, and net imports of resources as well as trade in value added per exported resource item in global trade in 2015.",0.9767042012692776,0.6666666666666666,1.0,0.9999999999,0.4354462642217777
29,What is the advantage of using Machine Learning over traditional rules or functions in computer science and mathematics?,"Machine Learning can handle scenarios where inputs are noisy or outputs vary, which is not feasible with traditional rules or functions.","['in the fields of mathematics and computer science. As computers of various types (from servers, desktops and laptops to smartphones, and sensors integrated in microwaves, robots and even washing machines) have become ubiquitous over the past two decades, the amount of data that could be used to train Machine Learning models have become more accessible and readily available. The advances in the field of computer science have made working with large volumes of data very efficient. As the computational resources have increased exponentially over the past decades, we are now able to train more complex models that are able to perform specific tasks with astonishing results; so much so that it almost seems magical.\n\nThis article presents the different types of Machine Learning tasks and the different Machine Learning approaches in brief. If you are interested in learning more about Machine Learning, you are directed to Russel and Norvig [2] or Mitchell [3].\n\n== What the method does ==\nThe term ""Machine Learning"" does not refer to one specific method. Rather, there are']"," The advantage of using Machine Learning over traditional rules or functions is that it is able to perform specific tasks with astonishing results, almost magical.

The article presents the different types of Machine Learning tasks and the different Machine Learning approaches in brief. If you are interested in learning more about Machine Learning, you are directed to Russel and Norvig [2] or Mitchell [3].

The method of Machine Learning is not specific to one method, it is an overt term that is used to refer to the different types of Machine Learning tasks and the different Machine Learning approaches.

The advantage of using Machine Learning over",0.9817261951263165,1.0,1.0,0.9999999999,0.45816923088185124
30,What are some of the challenges faced by machine learning techniques?,"Some of the challenges faced by machine learning techniques include a lack of interpretability and explainability, a reproducibility crisis, and the need for large datasets and significant computational resources.","['Even though many methods in the field of Machine Learning have been researched quite extensively, the techniques still suffer from a lack of interpretability and explainability.\n* Reproducibility crisis is a big problem in the field of Machine Learning research as highlighted in [6].\n* Machine Learning approaches have been criticized as being a ""brute force"" approach of solving tasks.\n* Machine Learning techniques only perform well when the dataset size is large. With large data sets, training a ML model takes a large computational resources that can be costly in terms of time and money.\n\n\n== Normativity ==\nMachine Learning gets criticized for not being as thorough as traditional statistical methods are. However, in their essence, Machine Learning techniques are not that different from statistical methods as both of them are based on rigorous mathematics and computer science. The main difference between the two fields is the fact that most of statistics is based on careful experimental design (including hypothesis setting and testing), the field of Machine Learning does not emphasize this as much as the']","

Machine learning techniques suffer from a lack of interpretability and explainability, and are criticized for being a ""brute force"" approach to solving tasks. The field is not as thorough as traditional statistical methods, and the techniques only perform well when the dataset size is large.",0.9428102600061544,,1.0,0.9999999999,0.7318939778350785
31,What are the characteristics of scientific methods?,"Scientific methods are reproducible, learnable, and documentable. They help in gathering, analyzing, and interpreting data. They can be differentiated into different schools of thinking and have finer differentiations or specifications.","[""'''This sub-wiki deals with scientific methods.''' <br/>\n\n=== What are scientific methods? ===\nWe define ''Scientific Methods'' as follows:\n* First and foremost, scientific methods produce knowledge. \n* Focussing on the academic perspective, scientific methods can be either '''reproducible''' and '''learnable'''; can be '''documented''' and are '''learnable'''; or are '''reproducible''', can be '''documented''', and are '''learnable'''. \n* From a systematic perspective, methods are approaches that help us '''gather''' data, '''analyse''' data, and/or '''interpret''' it. Most methods refer to either one or two of these steps, and few methods refer to all three steps. \n* Many specific methods can be differentiated into different schools of thinking, and many methods have finer differentiations or specifications in an often hierarchical fashion. These two factors make a fine but systematic overview of all methods an almost""]","
Scientific methods are knowledge-produing, can be either or all of the following: 
reproducible, 
learnable, 
documented, 
interpret, 
gather, 
analyse, 
or all three.",0.9343861486856705,1.0,1.0,0.9999999999,0.7070780447217226
32,What is the main goal of practicing mindfulness?,"The main goal of practicing mindfulness is to clear the mind and focus on the present moment, free from normative assumptions.","['goal. Pragmatically speaking, one could say that mindfulness practices are known to help people balance feelings of anxiety, stress and unhappiness. Many psychological challenges thus seem to show positive developments due to mindfulness practice. Traditionally, mindfulness is the seventh of the eight parts of the buddhist practice aiming to become free. \n\n== Getting started ==\nThe easiest form of mindfulness is to sit in an upright position, and to breathe in, and breathe out. Counting your breath and trying to breathe deeply and calmly is the most fundamental mindfulness exercises. As part of the noble eightfold path in Buddhism, mindfulness became a key practice in Eastern monastic cultures ranging across Asia. Zazen – sitting meditation – is a key approach in Zen Buddhism, whereas other schools of Buddhism have different approaches. Common approaches try to explore the origins of our thoughts and emotions, or our interconnectedness with other people.\n\n[[File:Headspace -']", ,0.8786130665372928,,0.0,0.0,0.9299668915440623
33,How is information arranged in a Mindmap?,"In a Mindmap, the central topic is placed in the center of the visualization, with all relevant information arranged around it. The information should focus on key terms and data, omitting unnecessary details. Elements can be connected to the central topic through lines or branches, creating a web structure. Colors, symbols, and images can be used to further structure the map, and the thickness of the connections can vary to indicate importance.","['{|class=""wikitable"" style=""text-align: center; width: 100%""\n! colspan = ""4"" | Type !! colspan = ""4"" | Team Size\n|-\n| \'\'\'[[:Category:Collaborative Tools|Collaborative Tools]]\'\'\' || [[:Category:Software|Software]] || [[:Category:Personal Skills|Personal Skills]] || \'\'\'[[:Category:Productivity Tools|Productivity Tools]]\'\'\' || \'\'\'[[:Category:Team Size 1|1]]\'\'\' || \'\'\'[[:Category:Team Size 2-10|2-10]]\'\'\' || [[:Category:Team Size 11-30|11-30]] || [[:Category:Team Size 30+|30+]]\n|}\n\n== What, Why & When ==\n\'\'\'Mindmapping is a tool for the visual organisation of information\'\'\', showing ideas, words, names and more in relation to a central topic and to each other. The focus is on structuring']"," The information in a Mindmap is arranged in a visual, structuring and central topic- and relation- focus.

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why & When ==

== What, Why",0.9911899806450973,1.0,1.0,0.9999999999,0.4103552044207608
34,Who developed the calculations that allowed for linear unbiased estimates in Mixed Effect Models?,Charles Roy Henderson developed the calculations that allowed for linear unbiased estimates in Mixed Effect Models.,"[""what we want to know in a statistical design, but also what information we likely want to minimize in terms of their impact on the results. Fisher's experiments on agricultural fields focused on taming variance within experiments through the use of replicates, yet he was strongly aware that underlying factors such as different agricultural fields and their unique combinations of environmental factors would inadvertedly impact the results. He thus developed the random factor implementation, and Charles Roy Henderson took this to the next level by creating the necessary calculations to allow for linear unbiased estimates. These approaches allowed for the development of previously unmatched designs in terms of the complexity of hypotheses that could be tested, and also opened the door to the analysis of complex datasets that are beyond the sphere of purely deductively designed datasets. It is thus not surprising that Mixed Effect Models rose to prominence in such diverse disciplines as psychology, social science, physics, and ecology.\n\n\n== What the method does ==\nMixed Effect Models are - mechanically speaking - one step further with regards to the""]", Charles Roy Henderson developed the necessary calculations to allow for linear unbiased estimates in Mixed Effect Models.,0.9935590764475853,1.0,1.0,0.9999999999,0.9934525646556979
35,How do Mixed Effect Models compare to Analysis of Variance and Regressions in terms of statistical power and handling complex datasets?,Mixed Effect Models surpass Analysis of Variance in terms of statistical power and eclipse Regressions by being better able to handle the complexities of real world datasets.,"['in Mixed Effect Models are deeply problematic because they cannot take the complexity of the random variance into account. Hence, r<sup>2</sup> values in Mixed Effect Models make us go back to the other good old days, when mean values were ruling the outcomes of science. Today, we are closer to an understanding where variance matters, and why would we embrace that. Ok, it comes with a longer learning curve, but I think that the good old reduction to the mean was nothing but mean.\n\nAnother very important point regarding Mixed Effect Models is that they - probably more than any statistical method - remark the point where experts in one method (say for example interviews) now needed to learn how to conduct interviews as a scientific method, but also needed to learn advanced statistics in the form of Mixed Effect Models. This creates a double burden, and while learning several methods can be good to embrace a more diverse understanding, it is also challenging, and highlights a new development. Today, statistical analysis are increasingly']"," Mixed Effect Models are more advanced and can take the complexity of the random variance into account, while Analysis of Variance and Regressions are more reduction methods that can't.

Helpful Answer: Mixed Effect Models are more advanced and can take the complexity of the random variance into account, while Analysis of Variance and Regressions are more reduction methods that can't.

Helpful Answer: Mixed Effect Models are more advanced and can take the complexity of the random variance into account, while Analysis of Variance and Regressions are more reduction methods that can't.",0.9416224079346778,,0.5,0.0,0.726150304664518
36,Why should stepwise procedures in model reduction be avoided?,"Stepwise procedures in model reduction should be avoided because they are not smart but brute force approaches based on statistical evaluations, and they do not include any experience or preconceived knowledge. They are not prone against many of the errors that may happen along the way.","['any form of model reduction of a maximum model is a stepwise procedure. Based on p-values or other criteria such as AIC, a stepwise procedure allow to boil down any given model until only significant or otherwise statistically meaningful variables remain. While you can start from a maximum model that is boiled down which equals a backward selection, and a model starting with one predictor that subsequently adds more and more predictor variables and is named a forward selection, there is even a combination of these two. Stepwise procedures and not smart but brute force approaches that are only based on statistical evaluations, yet not necessarily very good ones. No experience or preconceived knowledge is included, hence such stepwise procedures are nothing but buckshot approaches that boil any given dataset down, and are not prone against many of the errors that may happen along the way. Hence stepwise procedures should be avoided at all costs, or at least be seen as the non-smart brute force tool they are.\n\nInstead, one should always inspect all']"," Based on the context, stepwise procedures in model reduction should be avoided as they are brute force approaches that are not prone to errors and are not smart.",0.0,0.6666666666666666,1.0,0.9999999999,0.8804903472211291
37,What are the methods to identify redundancies in data for model reduction?,"The methods to identify redundancies in data for model reduction are through correlations, specifically Pearson correlation, and ordinations, with principal component analysis being the main tool for continuous variables.","['be seen as the non-smart brute force tool they are.\n\nInstead, one should always inspect all data initially regarding the statistical distributions and prevalences. Concretely, one should check the datasets for outliers, extremely skewed distributions or larger gaps as well as other potentially problematic representations. All sorts of qualitative data needs to be checked for a sufficient sample size across all factor levels. Equally, missing values need to be either replaced by averages or respective data lines be excluded. There is no rule of thumb on how to reduce a dataset riddled with missing values. Ideally, one should check the whole dataset and filter for redundancies. Redundant variables can be traded off to exclude variables that re redundant and contain more NAs, and keep the ones that have a similar explanatory power but less missing values. \n\nThe simplest approach to look for redundancies are correlations. Pearson correlation even do not demand a normal distribution, hence these can be thrown onto any given combination of continuous variables and allow for identifying which']"," There are methods to identify redundancies in data for model reduction, which can be thrown onto any given combination of continuous variables and allow for identifying which variables are redundant.",0.9941067758018707,1.0,0.5,0.9999999999,0.8294041496496081
38,How are 'narratives' used in Narrative Research?,"'Narratives' in Narrative Research are used as a form of communication that people apply to make sense of their life experiences. They are not just representations of events, but a way of making sense of the world, linking events in meaning. They reflect the perspectives of the storyteller and their social contexts, and are subject to change over time as new events occur and perspectives evolve.","['2007, Squire et al. 2014, Moen 2006). \n\nNarrative Research is ""(...) the study of stories"" (Polkinghorne 2007, p.471) and thus ""(...) the study of how human beings experience the world, and narrative researchers collect these stories and write narratives of experience."" (Moen 2006, p.56). The distinctive feature of this approach - compared to other methods of qualitative research with individuals, such as [[Open Interview|Interviews]] or [[Ethnography]] - is the focus on narrative elements and their meaning. Researchers may focus on the \'narratology\', i.e. the structure and grammar of a story; the \'narrative content\', i.e. the themes and meanings conveyed through the story; and/or the \'narrative context\', which revolves around the effects of the story (Squire et al. 2014).\n\n\'\'\'One common approach in Narrative Research is the']", Narratives are used in Narrative Research to collect and write stories of experience.,0.9670573031478428,1.0,1.0,0.9999999999,0.4433690672314813
39,What are Generalized Additive Models (GAM) and what are their advantages and disadvantages?,"Generalized Additive Models (GAM) are statistical models developed by Trevor Hastie and Robert Tibshirani to handle non-linear dynamics. These models can compromise predictor variables in a non-linear fashion and outperform linear models when predictors follow a non-linear pattern. However, this comes at the cost of potentially losing the ability to infer causality when explaining the modeled patterns.","[""than not characterised by non-linear patterns, which need us to step out of the world of linear dynamics.''' \n\nOver the last decades, many types of [[Statistics|statistical]] models emerged that are better suited to deal with such non-linear dynamics. One of the most prominent approaches is surely that of Generalized Additive Models (GAM), which represents a statistical revolution. Much can be said about all the benefits of these models, which in a nutshell are - based on a smooth function - able to compromise predictor variables in a non-linear fashion. Trevor Hastie and Robert Tibshirani (see Key Publications) were responsible for developing these models and matching them with [[Generalised Linear Models]]. By building on more computer-intense approaches, such as penalized restricted likelihood calculation, GAMs are able to outperform linear models if predictors follow a non-linear fashion, which seems trivial in itself. This comes however with a high cost, since the ability of higher model fit comes - at""]"," Generalized Additive Models (GAM) are a statistical model that represents a revolution in the world of non-linear dynamics. GAMs are based on a smooth function that can compromise predictor variables in a non-linear fashion, which is able to outperform linear models if predictors follow a non-linear fashion. This comes however with a high cost, since the ability of higher model fit comes at the cost of higher computer-intense approaches, such as penalized restricted likelihood calculation.",0.9465715936270521,1.0,1.0,0.9999999999,0.5723077831792694
40,What are the three conditions under which Poisson Distribution can be used?,"Poisson Distribution can be used when 1. Data is counts of events i.e., they are non-negative integers. 2. The events are random and occur independently of each other. 3. The mean number of events occurring in a specific time frame is constant and known.","['probability of an event happening a certain number of times (k) within a given interval of time or space. For example, figuring out the probability of disease occurrence m times in the next month given that it occurs n times in 1 year.\n|-\n| Geometric || It determines the number of independent trials needed to get the first successful outcome. Geometric distribution may be used to conduct a cost-benefit analysis of a certain decision in a business.\n|}\n\nPoisson distribution can only be used under three conditions: 1. Data is counts of events i.e., they are non-negative integers. 2. The events are random and occur independently of each other. 3. The mean number of events occurring in a specific time frame is constant and known.\n\nFor example, Poisson distribution is used by mobile phone network companies to calculate their performance indicators like efficiency and customer satisfaction ratio. The number of network failures in a week in a locality can be measured given the history of network failures']"," The three conditions under which Poisson Distribution can be used are: 1. Data is counts of events i.e., they are non-negative integers. 2. The events are random and occur independently of each other. 3. The mean number of events occurring in a specific time frame is constant and known.",0.9999909192005911,1.0,1.0,0.9999999999,0.9925883497298327
41,How does the Pomodoro technique work?,"The Pomodoro technique works by deciding on a task, setting a timer for 25 minutes for example, working on the task until the timer rings, taking a short break if fewer than four intervals have been completed, and taking a longer break after four intervals, then resetting the count and starting again.","['lose yourself in the details as well as want to keep external distraction to a minimum. It also works brilliantly when you struggle with starting a task or procrastination in general.\n\n== Goals ==\n* Stay productive\n* Manage time effectively\n* Keep distractions away\n* Stay flexible within your head\n* Avoid losing yourself in details\n\n== Getting started ==\nPomodoro is a method to self-organize, avoid losing yourself, stay productive and energized. \n\n\'\'\'Pomodoro is very simple. All you need is work to be done and a timer.\'\'\'  \n\nThere are six steps in the technique:\n\n# Decide on the task to be done.\n# Set the pomodoro timer (traditionally to \'\'25 minutes = 1 ""Pomodoro""\'\').\n# Work on the task.\n# End work when the timer rings (Optionally: put a checkmark on a piece of paper).\n# If you have fewer than four checkmarks (i.e. done less']"," Pomodoro is a time-organized method that works brilliantly when you struggle with starting a task or procrastination in general. It is very simple, you just need work to be done and a timer. It is a technique that is done in 25 minutes (1 Pomodoro).",0.9185804560895844,1.0,1.0,0.9999999999,0.7594622517549806
42,What is the 'curse of dimensionality'?,"The 'curse of dimensionality' refers to the challenges of dealing with high-dimensional data in machine learning, including sparsity of data points, increased difficulty in learning, and complications in data visualization and interpretation.","[""curse of dimensionality.\n\n=== Curse of dimensionality ===\nThis term was coined by Richard R. Bellman, an American applied mathematician. As the number of features / dimensions increases, the distance among data points grows exponential. Things become really sparse as the instances lie very far away from each other. This makes applying machine learning methods much more difficult, since there is a certain relationship between the number of features and the number of training data. In short, with higher dimensions you need to gather much more data for learning to actually occur, which leaves a lot of room for error. Moreover, higher-dimension spaces have many counter-intuitive properties, and the human mind, as well as most data analysis tools, is used to dealing with only up to three dimensions (like the world we are living in). Thus, data visualization and intepretation become much harder, and computational costs of model training greatly increases. '''Principle Component Analysis helps to alleviate this problem'''.\n[[File:""]",,0.9891077131042554,,1.0,0.9999999999,0.9183316560542214
43,Why is it important to determine heteroscedastic and homoscedastic dispersion in the dataset?,Determining heteroscedastic and homoscedastic dispersion is important because the ordinary least squares estimator (OLS) is only suitable when homoscedasticity is present.,"['lang=""Python"" line>\ndata.describe()## here you can an overview over the standard descriptive data.\n</syntaxhighlight> \n\n<syntaxhighlight lang=""Python"" line>\ndata.columns #This command shows you the variables you will be able to use. The data type is object, since it contains different data formats.\n</syntaxhighlight>\n\n==Homoscedasticity and Heteroscedasticity==\nBefore conducting a regression analysis, it is important to look at the variance of the residuals. In this case, the term ‘residual’ refers to the difference between observed and predicted data (Dheeraja V.2022).\n\nIf the variance of the residuals is equally distributed, it is called homoscedasticity. Unequal variance in residuals causes heteroscedastic dispersion.\n\nIf heteroscedasticity is the case, the OLS is not the most efficient estimating approach anymore. This does not mean that your results are biased, it only means that another approach can create']","

If you determine that your dataset is heteroscedastic, you can use a different approach to create a regression analysis. This approach is called a heteroscedasticity and standard OLS is not the most efficient estimating approach anymore.

If you determine that your dataset is homoscedastic, you can use the standard OLS approach.

If you don't know, you can use the OLS approach and determine the heteroscedasticity of the dataset.",0.8535225891969139,0.75,1.0,0.9999999999,0.4368468596029069
44,How did Shell contribute to the advancement of Scenario Planning?,"Shell significantly advanced Scenario Planning by introducing the ""Unified Planning Machinery"" in response to increasing forecasting errors. This system allowed them to anticipate future events and manage the 1973 and 1981 oil crises. Shell's success with this method led to its widespread adoption, with over half of the Fortune 500 companies using Scenario Planning by 1982.","['(Wack 1985, p.73). As a response to this and to be prepared for potential market shocks, Shell introduced the ""Unified Planning Machinery"". The idea was to listen to planners\' analysis of the global business environment in 1965 and, by doing so, Shell practically invented Scenario Planning. The system enabled Shell to first look ahead for six years, before expanding their planning horizon until 2000. The scenarios prepared Shell\'s management to deal with the 1973 and 1981 oil crises (1). Shell\'s success popularized the method. By 1982, more than 50% of Fortune 500 (= the 500 highest-grossing US companies) had switched to Scenario Planning (2). \n\nToday, Scenario Planning remains an important tool for corporate planning in the face of increasing complexity and uncertainty in business environments (5). Adjacent to [[Visioning & Backcasting]], it has also found its way into research. For instance, researchers in']"," Shell introduced the ""Unified Planning Machinery"". The system enabled Shell's management to deal with the 1973 and 1981 oil crises and popularized the method. By 1982, more than 50% of Fortune 500 had switched to Scenario Planning.

Un Scenario Planning:

(Wack 1985, p.73). As a response to this and to be prepared for potential market shocks, Shell introduced the ""Unified Planning Machinery"". The idea was",0.8679799403485688,1.0,0.0,0.9999999999,0.7755244606059658
45,Who influenced the field of Social Network Analysis in the 1930s and what was their work based on?,"Romanian-American psychosociologist Jacob Moreno and his collaborator Helen Jennings heavily influenced the field of Social Network Analysis in the 1930s with their 'sociometry'. Their work was based on a case of runaways in the Hudson School for Girls in New York, assuming that the girls ran away because of their position in their social networks.","['rather than focusing on individual units. He argued ""against understanding society as a mass of individuals who each react independently to circumstances based on their individual tastes, proclivities, and beliefs and who create new circumstances only by the simple aggregation of their actions. (...) [W]e should focus instead on the emergent consequences of the interaction of individual actions."" (Marin & Wellman 2010, p.6)\n\n[[File:Social Network Analysis History Moreno.png|350px|thumb|left|\'\'\'Moreno\'s original work on Social Networks.\'\'\' Source: Borgatti et al. 2009, p.892]]\n\nRomanian-American psychosociologist \'\'\'Jacob Moreno heavily influenced the field of Social Network Analysis in the 1930s\'\'\' with his - and his collaborator Helen Jennings\' - \'sociometry\', which served ""(...) as a way of conceptualizing the structures of small groups produced through friendship patterns and informal interaction."" (Scott 1988,']","

Jacob Moreno heavily influenced the field of Social Network Analysis in the 1930s with his work on ""sociometry."" Moreno's work was based on the concept of friendship patterns and informal interaction in small groups.",0.9609596976068892,1.0,1.0,0.9999999999,0.7343002548496472
46,What are the limitations of Stacked Area Plots?,Stacked Area Plots are not suitable for studying the evolution of individual data series.,"['must be applied carefully since they have some limitations. They are appropriate to study the evolution of the whole data series and the relative proportions of each data series, but not to study the evolution of each individual data series.\n\nTo have a clearer understanding, let us plot an example of a Stacked Area Plot in R.\n\n==Plotting in R==\n\nR uses the function <syntaxhighlight lang=""R"" inline>geom_area()</syntaxhighlight> to create Stacked Area Plots.\nThe function <syntaxhighlight lang=""R"" inline>geom_area()</syntaxhighlight> has the following syntax:\n\n\'\'\'Syntax\'\'\': <syntaxhighlight lang=""R"" inline>ggplot(Data, aes(x=x_variable, y=y_variable, fill=group_variable)) + geom_area()</syntaxhighlight>\n\nParameters:\n\n* Data: This parameter contains whole dataset (with the different data series) which are used in Stacked Area Plot.\n\n* x: This parameter contains numerical value of variable for x axis in Stacked Area']"," Stacked Area Plots are appropriate to study the evolution of the whole data series and the relative proportions of each data series, but not to study the evolution of each individual data series.",0.9080649812115914,1.0,1.0,0.9999999999,0.609715975451633
47,What is the purpose of Thought Experiments?,"The purpose of Thought Experiments is to systematically ask ""What if"" questions, challenging our assumptions about the world and potentially transforming our understanding of it.","['style=""width: 33%""| \'\'\'[[:Category:Past|Past]]\'\'\' || style=""width: 33%""| \'\'\'[[:Category:Present|Present]]\'\'\' || \'\'\'[[:Category:Future|Future]]\'\'\'\n|}\n<br/>__NOTOC__\n<br/><br/>\n\'\'\'In short:\'\'\' Thought Experiments are systematic speculations that allow to explore modifications, manipulations or completly new states of the world.\n\n== Background ==\n[[File:Scopus hits Thought Experiment.png|450px|thumb|right|\'\'\'SCOPUS hits per year for Thought Experiments until 2019.\'\'\' Search term: \'thought experiment\' in Title, Abstract, Keywords. Source: own.]]\n\n\'\'\'The Thought Experiment may well be the oldest scientific method.\'\'\' The consideration of potential futures was a vital step when our distant ancestors emancipated themselves and became humans. Asking themselves the \'\'What if\'\' questions was a vital step in the dawn of humankind, and both in the']"," Thought Experiments are a method to explore the world, to systematicly speculations and to question our own and the world'S periments.

== The purpose of Thought Experiments ==

The purpose of Thought Experiments is to explore the world, to systematicly speculations and to question our own and the world'S periments.

== The purpose of Thought Experiments ==

The purpose of Thought Experiments is to explore the world, to systematicly speculations and to question our own and the world'S periments.

== The purpose of Th",0.9999999999999991,0.6666666666666666,1.0,0.9999999999,0.7230694237130288
48,What is temporal autocorrelation?,Temporal autocorrelation is a principle that states humans value events in the near past or future more than those in the distant past or future.,"['hours spent at home (and when it is dark), days in home office, temperature (if heating requires electricity), and many other.\n\n===Autocorrelation===\nAutocorrelation measures the degree of similarity between a given time series and a lagged version of itself. High autocorrelation occurs with periodic data, where the past data highly correlates with the current data.\n\n<syntaxhighlight lang=""Python"" line>\nimport statsmodels.api as sm ## needed to use the autocorrelation function\nautocorr = sm.tsa.acf(df[\'usage_kwh\'], nlags=24*4*2)## determines #autocorrelation with a lag of 15 minutes over 2 days (24 hours * 4 (every 15 min) * 2 for two days) \nsteps = np. arange (0, len(autocorr) * 15, 15) / 60 ## produces an ##array of the length of the autocorrelation']", ,0.9042214774396341,,1.0,0.0,0.18140434785822657
49,What methods did the Besatzfisch project employ to study the effects of stocking fish in natural ecosystems?,"The Besatzfisch project employed a variety of methods including measuring fish population dynamics, questioning anglers about economic implications, modeling decision-making processes, conducting participatory workshops, and developing social-ecological models.","['how the selected methods can be combined, and how they relate to agency, see one of the following examples.\n\n\n== Examples ==\n[[File:Besatzfisch.png|450px|thumb|center|The research project ""Besatzfisch"". [http://besatz-fisch.de/content/view/90/86/lang,german/  Source]]]\n* The research project [http://besatz-fisch.de/content/view/34/57/lang,german/ ""Besatzfisch""] is a good example of a long-term transdisciplinary research project that engages with different methodological approaches. This four year project attempted to \'\'\'understand the ecological, social and economic role and effects of stocking fish in natural ecosystems.\'\'\' First, fish was introduced to ecosystems and the subsequent population dynamics were qualitatively & quantitatively measured, much of this jointly with the cooperating anglers (\'\'Cooperation\'\'). Second, anglers were questioned about fish population sizes and their economic implications']", The Besatzfisch project combined qualitatively and quantitatively measured population dynamics with cooperating anglers to study the effects of stocking fish in natural ecosystems.,0.9264236570415271,1.0,0.4,0.9999999999,0.7357806812057196
