contexts;summary;question;ground_truths
"We define ''Scientific Methods'' as follows: * First and foremost, scientific methods produce knowledge. * Focussing on the academic perspective, scientific methods can be either '''reproducible''' and '''learnable'''; can be '''documented''' and are '''learnable'''; or are '''reproducible''', can be '''documented''', and are '''learnable'''. * From a systematic perspective, methods are approaches that help us '''gather''' data, '''analyse''' data, and/or '''interpret''' it. Most methods refer to either one or two of these steps, and few methods refer to all three steps. * Many specific methods can be differentiated into different schools of thinking, and many methods have finer differentiations or specifications in an often hierarchical fashion. These two factors make a fine but systematic overview of all methods an almost Herculean task, yet on a broader scale it is quite possible to gain an overview of the methodological canon of science within a few years, if you put some efforts into it. This Wiki tries to develop the baseline material for such an overview, yet can of course not replace practical application of methods and the continuous exploring of empirical studies within the scientific literature.";Scientific methods are defined as reproducible, learnable, and documentable approaches that produce knowledge and help gather, analyze, and interpret data. They can be differentiated into different schools of thinking and have finer differentiations or specifications. Despite the complexity, it's possible to gain an overview of the methodological canon of science with effort and time.;What are the characteristics of scientific methods?;Scientific methods are reproducible, learnable, and documentable. They help in gathering, analyzing, and interpreting data. They can be differentiated into different schools of thinking and have finer differentiations or specifications.
Mindfulness is a concept with diverse facets. In principle, it aims at clearing your mind to be in the here and now, independent of the normative assumptions that typically form our train of thought. Most people that practice mindfulness have a routine and regular rhythm, and often follow one of the several schools of thinking that exist. Mindfulness has been practiced since thousands of years, already starting before the rise of Buddhism, and in the contexts of many diverse but often religious schools of thinking.;Mindfulness is a multifaceted concept that aims to clear the mind and focus on the present moment, free from normative assumptions. It is a practice with a long history, predating Buddhism, and is often associated with various schools of thought and religious practices.;What is the main goal of practicing mindfulness?;The main goal of practicing mindfulness is to clear the mind and focus on the present moment, free from normative assumptions.
The central topic is written into the center of the visualisation (e.g. a whiteboard, with a digital tool, or a large horizontally arranged sheet of paper). This central topic can be see as a city center on a city map, and all relevant information items then are arranged around it like different districts of the city. The information items should focus on the most important terms and data, and omit any unncessary details. These elements may be connected to the central topic through lines, like streets, or branches, resulting in a web structure. Elements may be subordinate to other elements, indicating nestedness of the information. Colors, symbols and images may be used to further structure the differences and similaritiess between different areas of the map, and the length thickness of the connections may be varied to indicate the importance of connections.;In a Mindmap, the central topic is placed in the center of the visualization, with all relevant information arranged around it like districts in a city. The information should focus on key terms and data, omitting unnecessary details. Elements can be connected to the central topic through lines or branches, creating a web structure. Colors, symbols, and images can be used to further structure the map, and the thickness of the connections can vary to indicate importance.;How is information arranged in a Mindmap?;In a Mindmap, the central topic is placed in the center of the visualization, with all relevant information arranged around it. The information should focus on key terms and data, omitting unnecessary details. Elements can be connected to the central topic through lines or branches, creating a web structure. Colors, symbols, and images can be used to further structure the map, and the thickness of the connections can vary to indicate importance.
Mixed Effect Models were a continuation of Fisher's introduction of random factors into the Analysis of Variance. Fisher saw the necessity not only to focus on what we want to know in a statistical design, but also what information we likely want to minimize in terms of their impact on the results. Fisher's experiments on agricultural fields focused on taming variance within experiments through the use of replicates, yet he was strongly aware that underlying factors such as different agricultural fields and their unique combinations of environmental factors would inadvertedly impact the results. He thus developed the random factor implementation, and Charles Roy Henderson took this to the next level by creating the necessary calculations to allow for linear unbiased estimates. These approaches allowed for the development of previously unmatched designs in terms of the complexity of hypotheses that could be tested, and also opened the door to the analysis of complex datasets that are beyond the sphere of purely deductively designed datasets. It is thus not surprising that Mixed Effect Models rose to prominence in such diverse disciplines as psychology, social science, physics, and ecology.;Mixed Effect Models, a continuation of Fisher's work, incorporate both fixed and random factors to minimize the impact of unwanted information on statistical results. Fisher's experiments aimed to control variance within experiments, while acknowledging the influence of underlying factors. Charles Roy Henderson further developed this by creating calculations for linear unbiased estimates, allowing for the testing of complex hypotheses and analysis of complex datasets. This versatility has led to the widespread use of Mixed Effect Models in various disciplines.;Who developed the calculations that allowed for linear unbiased estimates in Mixed Effect Models?;Charles Roy Henderson developed the calculations that allowed for linear unbiased estimates in Mixed Effect Models.
The biggest strength of Mixed Effect Models is how versatile they are. There is hardly any part of univariate statistics that can not be done by Mixed Effect Models, or to rephrase it, there is hardly any part of advanced statistics that - even if it can be made by other models - cannot be done better by Mixed Effect Models. They surpass the Analyis of Variance in terms of statistical power, eclipse Regressions by being better able to consider the complexities of real world datasets, and allow for a planning and understanding of random variance that brings science one step closer to acknowledge that there are things that we want to know, and things we do not want to know.;Mixed Effect Models are highly versatile, capable of handling almost any part of univariate or advanced statistics more effectively than other models. They outperform Analysis of Variance in statistical power and Regressions in handling complex datasets, and their ability to plan and understand random variance brings science closer to distinguishing between what we want to know and what we do not.;How do Mixed Effect Models compare to Analysis of Variance and Regressions in terms of statistical power and handling complex datasets?;Mixed Effect Models surpass Analysis of Variance in terms of statistical power and eclipse Regressions by being better able to handle the complexities of real world datasets.
The most blunt approach to any form of model reduction of a maximum model is a stepwise procedure. Based on p-values or other criteria such as AIC, a stepwise procedure allow to boil down any given model until only significant or otherwise statistically meaningful variables remain. While you can start from a maximum model that is boiled down which equals a backward selection, and a model starting with one predictor that subsequently adds more and more predictor variables and is named a forward selection, there is even a combination of these two. Stepwise procedures and not smart but brute force approaches that are only based on statistical evaluations, yet not necessarily very good ones. No experience or preconceived knowledge is included, hence such stepwise procedures are nothing but buckshot approaches that boil any given dataset down, and are not prone against many of the errors that may happen along the way. Hence stepwise procedures should be avoided at all costs, or at least be seen as the non-smart brute force tool they are.;A blunt approach to model reduction is a stepwise procedure, which boils down a model until only significant variables remain. This can be done through backward selection, starting from a maximum model, or forward selection, starting with one predictor and adding more. However, these procedures are not smart but brute force approaches based on statistical evaluations, and they do not include any experience or preconceived knowledge. Therefore, they should be avoided or seen as non-smart brute force tools.;Why should stepwise procedures in model reduction be avoided?;Stepwise procedures in model reduction should be avoided because they are not smart but brute force approaches based on statistical evaluations, and they do not include any experience or preconceived knowledge. They are not prone against many of the errors that may happen along the way.
"The simplest approach to look for redundancies are correlations. Pearson correlation even do not demand a normal distribution, hence these can be thrown onto any given combination of continuous variables and allow for identifying which variables explain fairly similar information. The word ""fairly"" is once more hard to define. All variables that are higher collected than a correlation coefficient of 0.9 are definitely redundant. Anything between 0.7 and 0.9 is suspicious, and should ideally be also excluded, that is one of the two variables. Correlation coefficients below 0.7 may be redundant, yet this danger is clearly lower. A more integrated approach that has the benefit to be graphically appealing are ordinations, with principal component analysis being the main tool for continuous variables. based on the normal distribution, this analysis represents a form of dimension reduction, where the main variances of datasets are reduced to artificial axes or dimensions. The axis are orthogonally related, which means that they are maximally unrelated. Whatever information the first axis contains,  the second axis contains exactly not this information, and so on. This allows to filter large datasets with many variables into few artificial axis while maintaining much of the information. However, one needs to be careful since these artificial axis are not the real variables, but synthetic reductions. Still, the PCA has proven valuable to check for redundancies, also since these can be graphically represented.";The simplest approach to identify redundancies is through correlations, specifically Pearson correlation, which doesn't require a normal distribution. Variables with a correlation coefficient above 0.9 are considered redundant, and those between 0.7 and 0.9 are suspicious. A more integrated approach is ordinations, with principal component analysis being the main tool for continuous variables. This reduces the main variances of datasets to artificial axes or dimensions, allowing for the filtering of large datasets into fewer artificial axes while maintaining much of the information.;What are the methods to identify redundancies in data for model reduction?;The methods to identify redundancies in data for model reduction are through correlations, specifically Pearson correlation, and ordinations, with principal component analysis being the main tool for continuous variables.
Narrative Research -  or 'Narrative Inquiry' - is shaped by and focussing on a conceptual understanding of 'narratives' (Barrett & Stauffer 2009, p.15). Here, 'narratives' are seen as a format of communication that people apply to make sense of their life experiences. Communities, social groups, and subcultures tell stories with words and meanings that are specific to their experience and way of life. The lexicon of a social group constitutes its perspective on the world, and it is assumed that narrations preserve particular perspectives in a more genuine form (Jovchelovitch & Bauer 2000, p.2). Narratives are therefore not merely forms of representing a chain of events, but a way of making sense of what is happening. Through the telling of a story, people link events in meaning. The elements that are conveyed in the story, and the way these are conveyed, indicates how the story-teller - and/or their social surrounding - sees the world. They are a form of putting reality into cultural and individual perspective. Also, narratives are never final but change over time as new events arise and perspectives develop (Jovchelovitch & Bauer 2000, Webster & Mertova 2007, Squire et al. 2014, Moen 2006).;Narrative Research or 'Narrative Inquiry' is based on a conceptual understanding of 'narratives' as a form of communication used by individuals and communities to make sense of their experiences. Narratives are not just representations of events, but a way of making sense of the world, linking events in meaning. They reflect the perspectives of the storyteller and their social contexts, and are subject to change over time as new events occur and perspectives evolve.;How are 'narratives' used in Narrative Research?;'Narratives' in Narrative Research are used as a form of communication that people apply to make sense of their life experiences. They are not just representations of events, but a way of making sense of the world, linking events in meaning. They reflect the perspectives of the storyteller and their social contexts, and are subject to change over time as new events occur and perspectives evolve.
Over the last decades, many types of statistical models emerged that are better suited to deal with such non-linear dynamics. One of the most prominent approaches is surely that of Generalized Additive Models (GAM), which represents a statistical revolution. Much can be said about all the benefits of these models, which in a nutshell are - based on a smooth function - able to compromise predictor variables in a non-linear fashion. Trevor Hastie and Robert Tibshirani (see Key Publications) were responsible for developing these models and matching them with Generalised Linear Models. By building on more computer-intense approaches, such as penalized restricted likelihood calculation, GAMs are able to outperform linear models if predictors follow a non-linear fashion, which seems trivial in itself. This comes however with a high cost, since the ability of higher model fit comes - at least partly - with the loss of our ability to infer causality when explaining the patterns that are being modeled.;In recent decades, various statistical models have been developed to handle non-linear dynamics, with Generalized Additive Models (GAM) being a notable example. Developed by Trevor Hastie and Robert Tibshirani, these models can compromise predictor variables in a non-linear fashion and outperform linear models when predictors follow a non-linear pattern. However, this comes at the cost of potentially losing the ability to infer causality when explaining the modeled patterns.;What are Generalized Additive Models (GAM) and what are their advantages and disadvantages?;Generalized Additive Models (GAM) are statistical models developed by Trevor Hastie and Robert Tibshirani to handle non-linear dynamics. These models can compromise predictor variables in a non-linear fashion and outperform linear models when predictors follow a non-linear pattern. However, this comes at the cost of potentially losing the ability to infer causality when explaining the modeled patterns.
Poisson Distribution is one of the discrete probability distributions along with binomial, hypergeometric, and geometric distributions. Poisson distribution can only be used under three conditions: 1. Data is counts of events i.e., they are non-negative integers. 2. The events are random and occur independently of each other. 3. The mean number of events occurring in a specific time frame is constant and known.;Poisson Distribution is a discrete probability distribution. It can be used when data is counts of events, the events are random and independent, and the mean number of events in a specific time frame is constant and known.;What are the three conditions under which Poisson Distribution can be used?;Poisson Distribution can be used when 1. Data is counts of events i.e., they are non-negative integers. 2. The events are random and occur independently of each other. 3. The mean number of events occurring in a specific time frame is constant and known.
Pomodoro is a method to self-organize, avoid losing yourself, stay productive and energized. Pomodoro is very simple. All you need is work to be done and a timer. There are six steps in the technique: Decide on the task to be done. Set the pomodoro timer (traditionally to 25 minutes = 1 Pomodoro). Work on the task. End work when the timer rings (Optionally: put a checkmark on a piece of paper). If you have fewer than four checkmarks (i.e. done less than 4 Pomodoros) , take a short break (5 minutes), then go back to step 2. After four pomodoros, take a longer break (15–30 minutes), reset your checkmark count to zero, then start again at step 1.;The Pomodoro technique is a simple method for self-organization and productivity that involves working in timed intervals, taking short breaks after each interval, and taking a longer break after four intervals.;How does the Pomodoro technique work?;The Pomodoro technique works by deciding on a task, setting a timer for 25 minutes, working on the task until the timer rings, taking a short break if fewer than four intervals have been completed, and taking a longer break after four intervals, then resetting the count and starting again.
This term was coined by Richard R. Bellman, an American applied mathematician. As the number of features / dimensions increases, the distance among data points grows exponential. Things become really sparse as the instances lie very far away from each other. This makes applying machine learning methods much more difficult, since there is a certain relationship between the number of features and the number of training data. In short, with higher dimensions you need to gather much more data for learning to actually occur, which leaves a lot of room for error. Moreover, higher-dimension spaces have many counter-intuitive properties, and the human mind, as well as most data analysis tools, is used to dealing with only up to three dimensions (like the world we are living in). Thus, data visualization and intepretation become much harder, and computational costs of model training greatly increases. Principle Component Analysis helps to alleviate this problem.;The 'curse of dimensionality', a term coined by Richard R. Bellman, refers to the challenges of dealing with high-dimensional data in machine learning. As the number of features increases, data points become sparse and distant, making learning more difficult and error-prone. This also complicates data visualization and interpretation, and increases computational costs. Principal Component Analysis is a solution to this problem.;What is the 'curse of dimensionality'?;The 'curse of dimensionality' refers to the challenges of dealing with high-dimensional data in machine learning, including sparsity of data points, increased difficulty in learning, and complications in data visualization and interpretation.
The following parameters are used: id = final digit of the student matriculation number group = name of the learning group sex = gender in binary categories (m = male, f = female) quanti = number of solved exercises points = total score achieved from the exercises exam = total score achieved from the final written exam (Students must have to participate in the final written exam. If not, they will be considered as fail) passed = dummy whether the person has passed the class or not. Firstly, the aim for analyzing the dataset is to figure out the performance scored among the learning groups and gender for the solved questions, exercises and written exams. Secondly, we want to figure out the correlation between variables and most importantly to figure out heteroscedastic and homoscedastic dispersion, since the OLS is only apt when homoscedasticity is the case.;The dataset includes parameters such as student id, learning group, gender, number of solved exercises, total score from exercises, total score from final exam, and pass status. The analysis aims to understand performance across learning groups and genders, and to identify correlations between variables. It also seeks to determine heteroscedastic and homoscedastic dispersion, as OLS is only suitable when homoscedasticity is present.;Why is it important to determine heteroscedastic and homoscedastic dispersion in the dataset?;Determining heteroscedastic and homoscedastic dispersion is important because the ordinary least squares estimator (OLS) is only suitable when homoscedasticity is present.
"Shortly after, Scenario Planning was heavily furthered through corporate planning, most notably by the oil company Shell. At the time, corporate planning was traditionally ""(...) based on forecasts, which worked reasonably well in the relatively stable 1950s and 1960s. Since the early 1970s, however, forecasting errors have become more frequent and occasionally of dramatic and unprecedented magnitude."" (Wack 1985, p.73). As a response to this and to be prepared for potential market shocks, Shell introduced the ""Unified Planning Machinery"". The idea was to listen to planners' analysis of the global business environment in 1965 and, by doing so, Shell practically invented Scenario Planning. The system enabled Shell to first look ahead for six years, before expanding their planning horizon until 2000. The scenarios prepared Shell's management to deal with the 1973 and 1981 oil crises (1). Shell's success popularized the method. By 1982, more than 50% of Fortune 500 (= the 500 highest-grossing US companies) had switched to Scenario Planning (2).";"Scenario Planning was significantly advanced by Shell in response to increasing forecasting errors since the early 1970s. Shell introduced the ""Unified Planning Machinery"" to prepare for potential market shocks, effectively inventing Scenario Planning. This system allowed Shell to anticipate future events, helping them manage the 1973 and 1981 oil crises. By 1982, over half of the Fortune 500 companies had adopted Scenario Planning.";How did Shell contribute to the advancement of Scenario Planning?;"Shell significantly advanced Scenario Planning by introducing the ""Unified Planning Machinery"" in response to increasing forecasting errors. This system allowed them to anticipate future events and manage the 1973 and 1981 oil crises. Shell's success with this method led to its widespread adoption, with over half of the Fortune 500 companies using Scenario Planning by 1982."
Romanian-American psychosociologist Jacob Moreno heavily influenced the field of Social Network Analysis in the 1930s with his - and his collaborator Helen Jennings' - 'sociometry', which served as a way of conceptualizing the structures of small groups produced through friendship patterns and informal interaction. (Scott 1988, p.110). Their work was sparked by a case of runaways in the Hudson School for Girls in New York. Their assumption was that the girls ran away because of the position they occupied in their social networks (see Diagram).;In the 1930s, Romanian-American psychosociologist Jacob Moreno and his collaborator Helen Jennings significantly influenced Social Network Analysis with their 'sociometry', a method to conceptualize the structures of small groups through friendship patterns and informal interaction. Their work was inspired by a case of runaways at the Hudson School for Girls in New York, hypothesizing that the girls' positions in their social networks influenced their decision to run away.;Who influenced the field of Social Network Analysis in the 1930s and what was their work based on?;Romanian-American psychosociologist Jacob Moreno and his collaborator Helen Jennings heavily influenced the field of Social Network Analysis in the 1930s with their 'sociometry'. Their work was based on a case of runaways in the Hudson School for Girls in New York, assuming that the girls ran away because of their position in their social networks.
Stacked Area Plots must be applied carefully since they have some limitations. They are appropriate to study the evolution of the whole data series and the relative proportions of each data series, but not to study the evolution of each individual data series.;While Stacked Area Plots are useful for studying the evolution of the whole data series and the relative proportions of each data series, they have limitations and are not suitable for studying the evolution of individual data series.;What are the limitations of Stacked Area Plots?;Stacked Area Plots are not suitable for studying the evolution of individual data series.
"Thought Experiments are the philosophical method that asks the ""What if"" questions in a systematic sense. Thought Experiments are typically designed in a way that should question our assumptions about the world. They are thus typically deeply normative, and can be transformative. Thought Experiments can unleash transformation knowledge in people since such experiments question the status quo of our understanding of the world. The word ""experiment"" is insofar slightly misleading, as the outcome of Thought Experiments is typically open. In other words, there is no right or wrong answer, but instead, the experiments are a form of open discourse. While thus some Thought Experiments may be designed to imply a presumpted answer, many famous Thought Experiments are completely open, and potential answers reflect the underlying norms and moral constructs of people. Hence Thought Experiments are not only normative in their design, but especially in terms of the possible answers of results.";"Thought Experiments are philosophical methods that systematically ask ""What if"" questions, challenging our world assumptions. They are normative and transformative, questioning our understanding of the world. The term ""experiment"" is somewhat misleading as there is no definitive right or wrong answer, making them a form of open discourse. While some Thought Experiments may imply a presumed answer, many are open-ended, with potential answers reflecting the respondent's norms and moral constructs.";What is the purpose of Thought Experiments?;"The purpose of Thought Experiments is to systematically ask ""What if"" questions, challenging our assumptions about the world and potentially transforming our understanding of it."
Temporal autocorrelation. This principle defines that we humans value everything that occurs in the close past or future to be more relevant than occurrences in the distant future or past. This is even independent of the likelihood whether future events will actually happen. As an example, imagine that you want to have a new computer every few years, and you can pay 5€ to have a 50% chance to get a new computer tomorrow. If you actually needed one, you would surely do that. However, even adjusted for inflation, many people would not pay the same 5€ to have a 50 % chance to win the latest computer in 10 years. What difference does it make? It is the latest tech in any case. Temporal discounting is one of the main ways how people act unreasonably. This even extends well beyond the point where we are dead already, although this also plays a role. Our unreasonable inabilities to transcend temporal discounting extend likewise into the past. The strongest argument to this end is how many people insist that they are worse off today when compared to the past - in the 'good old days'. The mistake that is typically made is that some aspects in the past were better, while many other aspects were worse. People hence have a tendency to value the time period closer to them different from the time periods more distant. For the past, only the good things are remembered, and for the present, the negative sides are also acknowledged. It widely depends on other circumstances whether this unreasonable evaluation is better or worse than a more objective view on each time period. In any case, the sheer difference between how people evaluate distant time periods or events compared to closer ones is one indirect motivation for science to put this knowledge into perspective.;Temporal autocorrelation is a principle that states humans value events in the near past or future more than those in the distant past or future. This is evident in temporal discounting, where people act unreasonably by valuing the present more than the future or past. This bias extends to how people perceive their current situation compared to the past, often idealizing the past and overlooking its negative aspects.;What is temporal autocorrelation?;Temporal autocorrelation is a principle that states humans value events in the near past or future more than those in the distant past or future.
"The research project ""Besatzfisch"" is a good example of a long-term transdisciplinary research project that engages with different methodological approaches. This four year project attempted to understand the ecological, social and economic role and effects of stocking fish in natural ecosystems. First, fish was introduced to ecosystems and the subsequent population dynamics were qualitatively & quantitatively measured, much of this jointly with the cooperating anglers ('Cooperation'). Second, anglers were questioned about fish population sizes and their economic implications ('Consultation') before the data was analyzed using monetary modelling. Third, decision-making processes were modelled based on conversations with anglers, and their mental models about fishing were evaluated ('Consultation'). Fourth, participatory workshops were conducted to help anglers optimize their fishing grounds ('Empowerment'). Fifth, social-ecological models were developed based on the previous empirical results. ('Consultation') Sixth, the project results are published in different forms of media for different target groups ('Information').";The research project Besatzfisch is a transdisciplinary study lasting four years aimed at understanding the role and effects of stocking fish in natural ecosystems. It used various methods like measuring fish population dynamics, economic implications, modeling decision-making processes, participatory workshops, and social-ecological models. The findings are disseminated through multiple media platforms.;What methods did the Besatzfisch project employ to study the effects of stocking fish in natural ecosystems?;The Besatzfisch project employed a variety of methods including measuring fish population dynamics, questioning anglers about economic implications, modeling decision-making processes, conducting participatory workshops, and developing social-ecological models.
